year,fin,fin_pub_service,fin_society,fin_environment,fin_services
2019,238874.02,20687.5,29580.37,7443.57,22420.11
2018,220904.13,18374.69,27012.09,6297.61,21085.59
2017,203085.49,16510.36,24611.68,5617.33,19088.99
2016,187755.21,14790.5,21591.5,4734.8,18587.4
2015,175877.77,13547.79,19018.69,4802.89,17380.49
2014,151785.56,13267.5,15968.9,3815.6,14173.8
2013,140212.1,13755.13,14490.54,3435.15,13349.55
2012,125952.97,12700.46,12585.52,2963.46,11973.88
2011,109247.79,10987.78,11109.4,2640.98,9937.55
2010,89874.16,9337.16,9130.62,2441.98,8129.58
2009,76299.93,9164.21,7606.68,1934.04,6720.41
2008,62592.66,9795.92,6804.29,1451.36,4544.01
2007,49781.35,8514.24,5447.16,995.82,3404.7
2006,40422.73,,,,
2005,33930.28,,,,
2004,28486.89,,,,
2003,24649.95,,,,
2002,22053.15,,,,
2001,18902.58,,,,
2000,15886.5,,,,
