year,province,fin,fin_pub_service,fin_house,fin_environment,fin_services
2000,上海,608.56,,,,
2000,云南,414.11,,,,
2000,内蒙,247.27,,,,
2000,北京,443.0,,,,
2000,吉林,260.67,,,,
2000,四川,452.0,,,,
2000,天津,187.05,,,,
2000,宁夏,60.84,,,,
2000,安徽,323.47,,,,
2000,山东,613.08,,,,
2000,山西,225.06,,,,
2000,广东,1080.32,,,,
2000,广西,258.49,,,,
2000,新疆,190.95,,,,
2000,江苏,591.28,,,,
2000,江西,223.47,,,,
2000,河北,415.54,,,,
2000,河南,445.53,,,,
2000,浙江,431.3,,,,
2000,海南,64.12,,,,
2000,湖北,368.77,,,,
2000,湖南,347.83,,,,
2000,甘肃,188.23,,,,
2000,福建,324.18,,,,
2000,西藏,59.97,,,,
2000,贵州,201.57,,,,
2000,辽宁,518.08,,,,
2000,重庆,187.64,,,,
2000,陕西,271.76,,,,
2000,青海,68.26,,,,
2000,黑龙,381.87,,,,
2001,上海,708.14,,,,
2001,云南,496.43,,,,
2001,内蒙,319.26,,,,
2001,北京,559.11,,,,
2001,吉林,326.43,,,,
2001,四川,594.1,,,,
2001,天津,234.67,,,,
2001,宁夏,93.58,,,,
2001,安徽,403.8,,,,
2001,山东,753.78,,,,
2001,山西,289.5,,,,
2001,广东,1321.33,,,,
2001,广西,351.65,,,,
2001,新疆,263.32,,,,
2001,江苏,729.64,,,,
2001,江西,283.71,,,,
2001,河北,514.18,,,,
2001,河南,508.58,,,,
2001,浙江,597.3,,,,
2001,海南,78.94,,,,
2001,湖北,484.4,,,,
2001,湖南,431.7,,,,
2001,甘肃,235.46,,,,
2001,福建,373.19,,,,
2001,西藏,104.57,,,,
2001,贵州,275.2,,,,
2001,辽宁,635.43,,,,
2001,重庆,237.55,,,,
2001,陕西,350.05,,,,
2001,青海,101.3,,,,
2001,黑龙,478.27,,,,
2002,上海,862.38,,,,
2002,云南,526.89,,,,
2002,内蒙,393.57,,,,
2002,北京,628.35,,,,
2002,吉林,362.62,,,,
2002,四川,701.62,,,,
2002,天津,265.21,,,,
2002,宁夏,114.57,,,,
2002,安徽,456.86,,,,
2002,山东,860.65,,,,
2002,山西,334.27,,,,
2002,广东,1521.08,,,,
2002,广西,419.86,,,,
2002,新疆,361.17,,,,
2002,江苏,860.25,,,,
2002,江西,341.38,,,,
2002,河北,576.59,,,,
2002,河南,629.18,,,,
2002,浙江,749.9,,,,
2002,海南,92.26,,,,
2002,湖北,511.39,,,,
2002,湖南,533.02,,,,
2002,甘肃,274.01,,,,
2002,福建,397.56,,,,
2002,西藏,137.84,,,,
2002,贵州,316.67,,,,
2002,辽宁,690.92,,,,
2002,重庆,305.86,,,,
2002,陕西,404.91,,,,
2002,青海,118.73,,,,
2002,黑龙,531.87,,,,
2003,上海,1088.44,,,,
2003,云南,587.35,,,,
2003,内蒙,447.26,,,,
2003,北京,734.8,,,,
2003,吉林,409.23,,,,
2003,四川,732.3,,,,
2003,天津,312.08,,,,
2003,宁夏,105.78,,,,
2003,安徽,507.44,,,,
2003,山东,1010.64,,,,
2003,山西,415.69,,,,
2003,广东,1695.63,,,,
2003,广西,443.6,,,,
2003,新疆,368.47,,,,
2003,江苏,1047.68,,,,
2003,江西,382.1,,,,
2003,河北,646.74,,,,
2003,河南,716.6,,,,
2003,浙江,896.77,,,,
2003,海南,105.4,,,,
2003,湖北,540.44,,,,
2003,湖南,573.75,,,,
2003,甘肃,300.01,,,,
2003,福建,452.3,,,,
2003,西藏,145.91,,,,
2003,贵州,332.35,,,,
2003,辽宁,784.38,,,,
2003,重庆,341.58,,,,
2003,陕西,418.2,,,,
2003,青海,122.04,,,,
2003,黑龙,564.91,,,,
2004,上海,1382.53,,,,
2004,云南,663.64,,,,
2004,内蒙,564.11,,,,
2004,北京,898.28,,,,
2004,吉林,507.78,,,,
2004,四川,895.25,,,,
2004,天津,375.02,,,,
2004,宁夏,123.02,,,,
2004,安徽,601.53,,,,
2004,山东,1189.37,,,,
2004,山西,519.06,,,,
2004,广东,1852.95,,,,
2004,广西,507.47,,,,
2004,新疆,421.04,,,,
2004,江苏,1312.04,,,,
2004,江西,454.06,,,,
2004,河北,785.56,,,,
2004,河南,879.96,,,,
2004,浙江,1062.94,,,,
2004,海南,127.2,,,,
2004,湖北,646.29,,,,
2004,湖南,719.54,,,,
2004,甘肃,356.94,,,,
2004,福建,516.68,,,,
2004,西藏,133.83,,,,
2004,贵州,418.42,,,,
2004,辽宁,931.4,,,,
2004,重庆,395.72,,,,
2004,陕西,516.31,,,,
2004,青海,137.34,,,,
2004,黑龙,697.55,,,,
2005,上海,1646.26,,,,
2005,云南,766.31,,,,
2005,内蒙,681.88,,,,
2005,北京,1058.31,,,,
2005,吉林,631.12,,,,
2005,四川,1082.18,,,,
2005,天津,442.12,,,,
2005,宁夏,160.25,,,,
2005,安徽,713.06,,,,
2005,山东,1466.23,,,,
2005,山西,668.75,,,,
2005,广东,2289.07,,,,
2005,广西,611.48,,,,
2005,新疆,519.02,,,,
2005,江苏,1673.4,,,,
2005,江西,563.95,,,,
2005,河北,979.16,,,,
2005,河南,1116.04,,,,
2005,浙江,1265.53,,,,
2005,海南,151.24,,,,
2005,湖北,778.72,,,,
2005,湖南,873.42,,,,
2005,甘肃,429.35,,,,
2005,福建,593.07,,,,
2005,西藏,185.45,,,,
2005,贵州,520.73,,,,
2005,辽宁,1204.36,,,,
2005,重庆,487.35,,,,
2005,陕西,638.96,,,,
2005,青海,169.75,,,,
2005,黑龙,787.79,,,,
2006,上海,1795.57,,,,
2006,云南,893.58,,,,
2006,内蒙,812.13,,,,
2006,北京,1296.84,,,,
2006,吉林,718.36,,,,
2006,四川,1347.4,,,,
2006,天津,543.12,,,,
2006,宁夏,193.21,,,,
2006,安徽,940.23,,,,
2006,山东,1833.44,,,,
2006,山西,915.57,,,,
2006,广东,2553.34,,,,
2006,广西,729.52,,,,
2006,新疆,678.47,,,,
2006,江苏,2013.25,,,,
2006,江西,696.44,,,,
2006,河北,1180.36,,,,
2006,河南,1440.09,,,,
2006,浙江,1471.86,,,,
2006,海南,174.54,,,,
2006,湖北,1047.0,,,,
2006,湖南,1064.52,,,,
2006,甘肃,528.59,,,,
2006,福建,728.7,,,,
2006,西藏,200.2,,,,
2006,贵州,610.64,,,,
2006,辽宁,1422.75,,,,
2006,重庆,594.25,,,,
2006,陕西,824.18,,,,
2006,青海,214.66,,,,
2006,黑龙,968.53,,,,
2007,上海,2181.68,182.61,,20.04,62.6
2007,云南,1135.22,187.01,,31.38,127.6
2007,内蒙,1082.31,194.03,,61.73,108.52
2007,北京,1649.5,179.56,,29.58,102.51
2007,吉林,883.76,141.66,,30.45,80.07
2007,四川,1759.13,321.37,,71.16,175.65
2007,天津,674.33,72.32,,5.91,26.8
2007,宁夏,241.85,38.39,,12.76,27.92
2007,安徽,1243.83,195.95,,37.65,103.52
2007,山东,2261.85,421.82,,33.94,163.01
2007,山西,1049.92,210.08,,44.97,84.54
2007,广东,3159.57,523.39,,26.71,172.53
2007,广西,985.94,193.37,,14.1,89.82
2007,新疆,795.15,148.41,,22.62,98.43
2007,江苏,2553.72,438.27,,48.31,193.63
2007,江西,905.06,146.68,,13.88,103.57
2007,河北,1506.65,269.43,,43.8,111.97
