year,gni,gdp,fgdp,sgdp,tgdp,per_gdp,industry_add,architecture_add,bank_add,realty_add
2019,988458.0,990865.0,70467.0,386165.0,534233.0,70892.0,317109.0,70904.0,77077.0,69631.0
2018,915887.3,919281.1,64745.2,364835.2,489700.8,66006.0,301089.3,65493.0,70610.3,64623.0
2017,831381.2,832035.9,62099.5,331580.5,438355.9,60014.0,275119.3,57905.6,64844.3,57086.0
2016,743408.3,746395.1,60139.2,295427.8,390828.1,54139.0,245406.4,51498.9,59964.0,49969.4
2015,686255.7,688858.2,57774.6,281338.9,349744.7,50237.0,234968.9,47761.3,56299.8,42573.8
2014,644380.2,643563.1,55626.3,277282.8,310654.0,47173.0,233197.4,45401.7,46853.4,38086.4
2013,588141.2,592963.2,53028.1,261951.6,277983.5,43684.0,222333.2,40896.8,41293.4,35340.4
2012,537329.0,538580.0,49084.6,244639.1,244856.2,39874.0,208901.4,36896.1,35272.2,30751.9
2011,483392.8,487940.2,44781.5,227035.1,216123.6,36302.0,195139.1,32926.5,30747.2,27780.7
2010,410354.1,412119.3,38430.8,191626.5,182061.9,30808.0,165123.1,27259.3,25733.1,23326.6
2009,347934.9,348517.7,33583.8,160168.8,154765.1,26180.0,138092.6,22681.5,21836.8,18760.5
2008,321229.5,319244.6,32464.1,149952.9,136827.5,24100.0,131724.0,18807.6,18345.6,14600.3
2007,270704.0,270092.3,27674.1,126630.5,115787.7,20494.0,111690.8,15348.0,15200.0,13714.0
2006,219028.5,219438.5,23317.0,104359.2,91762.2,16738.0,92235.8,12450.1,9972.3,10320.9
2005,185998.9,187318.9,21806.7,88082.2,77430.0,14368.0,77958.3,10400.5,7486.0,8482.7
2004,161415.4,161840.2,20904.3,74285.0,66650.9,12487.0,65774.9,8720.5,6600.2,7152.1
2003,136576.3,137422.0,16970.2,62695.8,57756.0,10666.0,55362.2,7510.8,6045.7,6157.0
2002,120480.4,121717.4,16190.2,54104.1,51423.1,9506.0,47774.9,6482.1,5555.8,5334.5
2001,109276.2,110863.1,15502.5,49659.4,45701.2,8717.0,43854.3,5945.5,5202.8,4705.8
2000,99066.1,100280.1,14717.4,45663.7,39899.1,7942.0,40258.5,5534.0,4842.2,4140.9
