year,province,gdp,per_gdp,fgdp,sgdp,tgdp,industry_add,architecture_add,bank_add
2000,上海,4771.17,29671.0,76.68,2207.63,2486.86,1998.96,208.67,602.95
2000,云南,2011.19,4769.0,431.8,833.25,746.14,704.0,129.25,79.04
2000,内蒙,1539.12,6502.0,350.8,582.57,605.74,484.19,98.38,39.92
2000,北京,3161.66,24122.0,79.25,1033.29,2049.12,844.01,189.28,425.19
2000,吉林,1951.51,7351.0,398.73,768.89,783.89,655.68,113.21,72.33
2000,四川,3928.2,4956.0,945.58,1433.11,1549.51,1154.46,278.65,153.05
2000,天津,1701.88,17353.0,73.69,863.83,764.36,785.96,77.87,58.44
2000,宁夏,295.02,5376.0,46.03,121.43,127.56,96.7,24.73,21.57
2000,安徽,2902.09,4779.0,741.77,1056.78,1103.54,885.1,171.68,76.54
2000,山东,8337.47,9326.0,1268.57,4164.45,2904.45,3665.74,498.71,314.25
2000,山西,1845.72,5722.0,179.86,858.37,807.49,748.65,109.72,127.74
2000,广东,10741.25,12736.0,986.32,4999.51,4755.42,4463.06,536.45,443.69
2000,广西,2080.04,4652.0,557.38,732.76,789.9,612.33,120.43,21.39
2000,新疆,1363.56,7372.0,288.18,537.58,537.8,418.63,118.95,41.94
2000,江苏,8553.69,11765.0,1048.34,4435.89,3069.46,3848.52,587.37,349.49
2000,江西,2003.07,4851.0,485.14,700.76,817.17,543.88,156.88,92.97
2000,河北,5043.96,7592.0,824.55,2514.96,1704.45,2201.73,313.23,183.77
2000,河南,5052.99,5450.0,1161.58,2294.15,1597.26,2000.04,294.11,144.81
2000,浙江,6141.03,13416.0,630.98,3273.93,2236.12,2945.7,328.23,221.73
2000,海南,526.82,6798.0,192.0,103.97,230.85,70.46,33.51,9.27
2000,湖北,3545.39,6293.0,662.3,1437.38,1445.71,1243.24,194.14,81.49
2000,湖南,3551.49,5425.0,784.92,1293.18,1473.39,1094.76,198.42,88.88
2000,甘肃,1052.88,4129.0,194.1,421.65,437.13,327.6,94.04,42.84
2000,福建,3764.54,11194.0,640.57,1628.45,1495.52,1422.34,206.11,118.85
2000,西藏,117.8,4572.0,36.39,27.05,54.37,10.17,16.88,2.48
2000,贵州,1029.92,2759.0,271.2,391.2,367.52,328.73,62.47,36.07
2000,辽宁,4669.06,11177.0,503.44,2344.4,1821.22,2114.89,229.51,127.91
2000,重庆,1791.0,5616.0,284.87,760.03,746.1,633.98,126.05,118.53
2000,陕西,1804.0,4968.0,258.22,782.58,763.2,629.88,152.7,50.27
2000,青海,263.68,5138.0,40.12,108.83,114.73,78.8,30.03,16.98
2000,黑龙,3151.4,8294.0,383.15,1731.7,1036.55,1566.4,165.3,30.9
2001,上海,5210.12,32201.0,78.0,2403.18,2728.94,2166.74,236.44,529.26
2001,云南,2138.31,5015.0,444.42,868.06,825.83,730.81,137.25,86.25
2001,内蒙,1713.81,7216.0,358.89,655.68,699.24,541.02,114.66,43.99
2001,北京,3707.96,26998.0,80.78,1142.35,2484.83,938.81,203.54,487.54
2001,吉林,2120.35,7893.0,409.1,852.51,858.74,724.73,127.78,79.5
2001,四川,4293.49,5376.0,981.67,1572.01,1739.81,1253.19,318.82,168.86
2001,天津,1919.09,19141.0,78.73,959.06,881.3,869.15,89.91,66.52
2001,宁夏,337.44,6039.0,49.67,135.89,151.89,106.82,29.06,21.37
2001,安徽,3246.71,5313.0,760.77,1254.88,1231.06,1062.0,192.88,78.83
2001,山东,9195.04,10195.0,1359.49,4556.01,3279.53,4004.09,551.92,318.34
2001,山西,2029.53,6226.0,171.09,956.01,902.43,832.45,123.56,139.24
2001,广东,12039.25,13849.0,988.84,5506.06,5544.35,4941.2,564.86,450.81
2001,广西,2279.34,5058.0,576.34,771.18,931.82,639.55,131.64,27.4
2001,新疆,1491.6,7945.0,288.12,573.91,629.57,445.6,128.31,48.53
2001,江苏,9456.84,12882.0,1094.48,4907.46,3454.9,4270.9,636.56,353.41
2001,江西,2175.68,5221.0,506.0,786.12,883.56,603.23,182.89,82.02
2001,河北,5516.76,8251.0,913.82,2696.63,1906.31,2378.04,318.59,167.29
2001,河南,5533.01,5959.0,1234.34,2510.45,1788.22,2182.78,327.67,150.78
2001,浙江,6898.34,14713.0,659.78,3572.88,2665.68,3181.94,390.94,260.36
2001,海南,579.17,7052.0,196.78,133.84,248.56,97.86,35.98,9.75
2001,湖北,3880.53,6867.0,692.17,1574.39,1613.97,1360.1,214.29,88.48
2001,湖南,3831.9,6120.0,825.73,1412.82,1593.35,1180.43,232.39,91.71
2001,甘肃,1125.37,4386.0,207.96,458.08,459.34,355.51,102.56,42.47
2001,福建,4072.85,11892.0,651.11,1803.5,1618.24,1586.48,217.02,124.84
2001,西藏,139.16,5324.0,37.54,31.97,69.65,10.88,21.09,3.26
2001,贵州,1133.27,3000.0,274.41,433.52,425.34,360.73,72.79,37.24
2001,辽宁,5033.08,12015.0,544.44,2440.55,2048.09,2190.12,250.43,131.32
2001,重庆,1976.86,6219.0,294.9,841.95,840.01,695.44,146.51,125.9
2001,陕西,2010.62,5506.0,263.63,878.82,868.17,706.62,172.2,58.16
2001,青海,300.13,5774.0,44.74,125.09,130.3,87.02,38.07,16.1
2001,黑龙,3390.1,8900.0,435.6,1773.3,1181.2,1592.0,181.3,31.3
2002,上海,5741.03,35329.0,79.68,2622.45,3038.9,2368.02,254.43,485.25
2002,云南,2312.82,5366.0,463.44,934.88,914.5,788.44,146.44,102.39
2002,内蒙,1940.94,8162.0,374.69,754.78,811.47,614.89,139.89,48.39
