year,province,dev_cnt,dev_domestic,dev_nation,dev_collectivity,dev_HMT,dev_foreign,total_investment,complete_investment,year_complete_investment,building_investment,equip_investment,other_investment,roadwork_area,complete_area,complete_rate,complete_price,complete_cost
2000,上海,2549.0,2264.0,571.0,298.0,201.0,84.0,,1916.68,566.17,,,,5523.23,1643.62,29.8,355.79,2164.64
2000,云南,329.0,301.0,128.0,12.0,21.0,7.0,,177.5,83.23,,,,959.02,426.05,44.4,55.69,1307.17
2000,内蒙,364.0,360.0,69.0,31.0,1.0,3.0,,61.53,45.22,,,,704.35,412.9,58.6,32.93,797.45
2000,北京,618.0,403.0,126.0,20.0,148.0,67.0,,2043.88,522.07,,,,4455.0,1365.6,30.7,266.25,1949.67
2000,吉林,271.0,250.0,82.0,10.0,9.0,12.0,,90.0,63.52,,,,781.14,464.81,59.5,45.03,968.67
2000,四川,1273.0,1190.0,220.0,152.0,56.0,27.0,,327.89,195.97,,,,3224.09,1285.33,39.9,95.5,743.03
2000,天津,695.0,634.0,189.0,59.0,38.0,23.0,,317.87,133.93,,,,1783.0,583.51,32.7,56.55,969.07
2000,宁夏,139.0,132.0,25.0,13.0,4.0,3.0,,19.45,15.57,,,,258.6,155.46,60.1,10.77,692.49
2000,安徽,988.0,901.0,291.0,118.0,65.0,22.0,,153.14,87.93,,,,1687.16,759.33,45.0,53.11,699.46
2000,山东,1297.0,1138.0,399.0,249.0,115.0,44.0,,471.27,223.29,,,,3551.06,1426.53,40.2,127.53,893.98
2000,山西,262.0,246.0,119.0,30.0,13.0,3.0,,80.45,39.46,,,,789.52,306.37,38.8,24.55,801.22
2000,广东,3792.0,3029.0,789.0,836.0,685.0,78.0,,2628.1,858.61,,,,9911.77,3161.64,31.9,511.47,1617.75
2000,广西,528.0,407.0,156.0,71.0,92.0,29.0,,132.82,38.67,,,,766.19,226.74,29.6,16.47,726.16
2000,新疆,209.0,195.0,50.0,11.0,11.0,3.0,,75.38,57.43,,,,771.86,330.11,42.8,32.92,997.24
2000,江苏,1930.0,1636.0,563.0,411.0,197.0,97.0,,644.03,358.72,,,,4268.45,2143.22,50.2,197.46,921.33
2000,江西,539.0,446.0,186.0,61.0,61.0,32.0,,70.65,42.37,,,,896.62,402.8,44.9,26.35,654.06
2000,河北,460.0,416.0,181.0,31.0,22.0,22.0,,190.64,108.39,,,,1670.0,771.31,46.2,69.38,899.47
2000,河南,1020.0,902.0,247.0,117.0,85.0,33.0,,178.86,77.88,,,,1657.53,597.46,36.0,40.59,679.39
2000,浙江,1750.0,1637.0,354.0,258.0,69.0,44.0,,733.09,362.18,,,,4612.54,1676.88,36.4,205.95,1228.15
2000,海南,97.0,68.0,22.0,8.0,15.0,14.0,,37.79,10.34,,,,138.66,36.01,26.0,5.46,1516.29
2000,湖北,1052.0,848.0,370.0,87.0,149.0,55.0,,375.36,134.63,,,,2102.86,843.55,40.1,69.23,820.74
2000,湖南,703.0,620.0,217.0,61.0,63.0,20.0,,141.67,74.83,,,,1318.39,577.55,43.8,41.42,717.14
2000,甘肃,387.0,343.0,110.0,57.0,21.0,23.0,,89.18,27.71,,,,478.49,187.13,39.1,18.96,1012.92
2000,福建,1777.0,1093.0,337.0,163.0,474.0,210.0,,587.47,207.37,,,,3422.88,1009.36,29.5,117.76,1166.63
2000,西藏,2.0,2.0,1.0,,,,,0.98,0.98,,,,7.31,6.66,91.1,0.45,669.11
2000,贵州,541.0,483.0,87.0,55.0,31.0,27.0,,93.85,46.58,,,,1014.89,349.17,34.4,25.14,720.02
2000,辽宁,1417.0,1235.0,282.0,120.0,109.0,73.0,,495.18,264.91,,,,3301.8,1618.95,49.0,150.75,931.16
2000,重庆,1339.0,1189.0,149.0,80.0,102.0,48.0,,333.37,139.63,,,,2833.42,849.42,30.0,76.76,903.68
2000,陕西,359.0,334.0,133.0,34.0,13.0,12.0,,166.72,78.89,,,,1337.09,585.27,43.8,46.85,800.56
2000,青海,177.0,170.0,18.0,7.0,4.0,3.0,,23.98,13.5,,,,218.64,74.26,34.0,7.41,997.76
2000,黑龙,439.0,405.0,170.0,32.0,25.0,9.0,,157.59,104.1,,,,1451.36,827.86,57.0,74.91,904.84
2001,上海,2588.0,2299.0,521.0,233.0,194.0,95.0,,2311.99,630.73,,,,5986.18,1791.36,29.9,379.42,2118.05
2001,云南,361.0,338.0,119.0,12.0,16.0,7.0,,201.42,87.98,,,,1080.41,366.02,33.9,40.97,1119.29
2001,内蒙,479.0,475.0,54.0,20.0,1.0,3.0,,83.73,65.67,,,,997.72,515.39,51.7,44.9,871.27
2001,北京,756.0,548.0,122.0,30.0,146.0,62.0,,2450.43,783.82,,,,5966.67,1707.35,28.6,315.84,1849.88
2001,吉林,351.0,329.0,79.0,10.0,16.0,6.0,,126.67,92.97,,,,1257.3,628.69,50.0,68.16,1084.16
2001,四川,1478.0,1395.0,179.0,138.0,60.0,23.0,,454.99,268.15,,,,4226.35,1843.91,43.6,144.21,782.07
2001,天津,689.0,644.0,151.0,53.0,26.0,19.0,,422.13,161.27,,,,1863.48,690.48,37.1,70.53,1021.5
2001,宁夏,151.0,144.0,27.0,12.0,3.0,4.0,,27.06,23.18,,,,327.55,190.7,58.2,14.67,769.49
2001,安徽,1112.0,1016.0,261.0,123.0,60.0,36.0,,194.45,110.99,,,,2013.68,957.02,47.5,65.84,687.93
2001,山东,1506.0,1332.0,402.0,271.0,128.0,46.0,,561.3,297.35,,,,4358.08,1727.49,39.6,161.35,934.0
2001,山西,525.0,498.0,163.0,34.0,18.0,9.0,,102.34,46.65,,,,815.57,374.11,45.9,34.26,915.81
2001,广东,3788.0,3005.0,655.0,713.0,702.0,81.0,,2930.65,972.34,,,,10906.53,3344.57,30.7,501.42,1499.21
2001,广西,532.0,435.0,136.0,71.0,72.0,25.0,,159.41,55.58,,,,938.39,331.27,35.3,25.5,769.68
2001,新疆,293.0,284.0,41.0,11.0,7.0,2.0,,141.04,97.92,,,,1433.54,633.25,44.2,59.43,938.52
2001,江苏,2022.0,1761.0,471.0,345.0,179.0,82.0,,762.93,414.36,,,,4858.47,2341.9,48.2,231.77,989.65
2001,江西,727.0,612.0,185.0,64.0,75.0,40.0,,110.97,63.52,,,,1152.76,546.24,47.4,35.18,644.05
2001,河北,483.0,445.0,161.0,16.0,22.0,16.0,,228.0,140.78,,,,2020.74,848.83,42.0,76.9,905.95
2001,河南,706.0,633.0,172.0,68.0,54.0,19.0,,225.43,102.84,,,,1976.84,644.4,32.6,45.74,709.84
2001,浙江,1922.0,1815.0,303.0,189.0,67.0,40.0,,1003.98,544.91,,,,6371.79,2053.89,32.2,255.52,1244.08
2001,海南,127.0,93.0,26.0,9.0,19.0,15.0,,56.55,17.11,,,,264.94,62.5,23.6,9.77,1563.27
2001,湖北,1067.0,874.0,325.0,78.0,144.0,49.0,,394.2,151.24,,,,2381.61,1049.46,44.1,102.56,977.28
2001,湖南,782.0,689.0,208.0,57.0,70.0,23.0,,202.07,107.41,,,,1584.62,648.86,40.9,56.05,863.77
2001,甘肃,364.0,333.0,95.0,49.0,15.0,16.0,,57.99,31.37,,,,541.28,222.56,41.1,21.11,948.42
2001,福建,1941.0,1163.0,301.0,134.0,570.0,208.0,,651.94,225.49,,,,3717.31,1280.79,34.5,142.62,1113.51
2001,西藏,7.0,7.0,2.0,,,,,1.6,1.5,,,,15.09,11.05,73.3,0.98,882.9
2001,贵州,610.0,567.0,75.0,40.0,26.0,17.0,,130.86,67.01,,,,1366.65,490.83,35.9,34.28,698.45
2001,辽宁,1546.0,1364.0,197.0,66.0,103.0,79.0,,675.47,323.09,,,,3971.51,1843.01,46.4,181.84,986.64
2001,重庆,1474.0,1319.0,133.0,69.0,118.0,37.0,,427.62,196.67,,,,3653.71,1020.63,27.9,87.15,853.91
2001,陕西,466.0,431.0,123.0,38.0,21.0,14.0,,251.87,99.78,,,,1326.74,580.99,43.8,56.6,974.17
2001,青海,216.0,209.0,23.0,6.0,4.0,3.0,,28.67,15.36,,,,267.58,105.99,39.6,9.21,869.19
2001,黑龙,483.0,452.0,152.0,32.0,23.0,8.0,,202.46,147.08,,,,1768.59,1013.82,57.3,95.67,943.68
2002,上海,2588.0,2308.0,420.0,184.0,197.0,83.0,,2530.78,748.89,,,,6857.0,1984.7,28.9,424.08,2137.0
2002,云南,355.0,336.0,89.0,8.0,14.0,5.0,,232.63,96.26,,,,1205.2,561.5,46.6,52.13,928.0
2002,内蒙,604.0,602.0,48.0,11.0,1.0,1.0,,104.49,74.53,,,,1085.7,583.4,53.7,51.73,887.0
2002,北京,958.0,718.0,126.0,35.0,168.0,72.0,,3030.59,989.41,,,,7510.7,2384.4,31.7,422.35,1771.0
2002,吉林,418.0,396.0,63.0,12.0,13.0,9.0,,163.46,116.77,,,,1463.9,755.9,51.6,86.83,1149.0
2002,四川,1646.0,1573.0,159.0,106.0,54.0,19.0,,591.1,344.38,,,,5272.0,2312.3,43.9,199.37,862.0
2002,天津,797.0,724.0,146.0,47.0,51.0,22.0,,467.72,175.84,,,,2135.6,746.4,35.0,72.5,971.0
2002,宁夏,176.0,172.0,15.0,10.0,2.0,2.0,,38.18,30.86,,,,451.5,219.6,48.7,19.62,893.0
2002,安徽,1220.0,1141.0,252.0,109.0,48.0,31.0,,281.05,146.49,,,,2403.5,1062.5,44.2,80.98,762.0
2002,山东,1759.0,1590.0,356.0,242.0,124.0,45.0,,709.43,391.16,,,,5247.3,2189.6,41.7,224.8,1027.0
2002,山西,621.0,591.0,157.0,33.0,20.0,10.0,,144.58,67.43,,,,994.2,447.0,45.0,49.25,1102.0
2002,广东,3806.0,3038.0,509.0,595.0,693.0,75.0,,3603.22,1115.25,,,,12024.9,3908.8,32.5,652.47,1669.0
2002,广西,577.0,470.0,126.0,53.0,88.0,19.0,,207.37,75.28,,,,1258.5,352.5,28.0,28.06,796.0
2002,新疆,335.0,326.0,31.0,5.0,6.0,3.0,,141.6,87.71,,,,1246.9,727.2,58.3,74.46,1024.0
2002,江苏,2122.0,1878.0,402.0,260.0,163.0,81.0,,913.13,544.13,,,,6115.8,2696.7,44.1,269.96,1001.0
2002,江西,814.0,707.0,152.0,53.0,72.0,35.0,,153.25,103.64,,,,1678.7,688.2,41.0,45.6,663.0
2002,河北,530.0,497.0,125.0,21.0,23.0,10.0,,273.85,175.04,,,,2140.8,839.0,39.2,88.81,1058.0
2002,河南,1107.0,1002.0,188.0,74.0,74.0,31.0,,314.01,138.36,,,,2484.0,892.3,35.9,67.83,760.0
2002,浙江,2044.0,1945.0,200.0,138.0,56.0,43.0,,1412.99,728.8,,,,8190.3,2660.6,32.5,355.4,1336.0
2002,海南,155.0,118.0,28.0,9.0,22.0,15.0,,48.0,20.11,,,,272.8,54.5,20.0,9.89,1816.0
2002,湖北,1077.0,918.0,251.0,57.0,104.0,55.0,,533.13,178.64,,,,2551.1,1072.4,42.0,110.35,1029.0
2002,湖南,942.0,824.0,199.0,48.0,86.0,32.0,,292.84,150.92,,,,2084.4,807.8,38.8,76.87,952.0
2002,甘肃,633.0,567.0,91.0,66.0,38.0,28.0,,71.28,37.71,,,,649.5,220.3,33.9,21.46,974.0
2002,福建,1774.0,1115.0,262.0,95.0,462.0,197.0,,697.39,248.99,,,,4114.6,1323.5,32.2,137.28,1037.0
2002,西藏,3.0,3.0,2.0,,,,,2.93,2.77,,,,19.1,16.2,84.8,2.47,1530.0
2002,贵州,974.0,909.0,86.0,53.0,51.0,14.0,,166.46,83.01,,,,1676.5,514.1,30.7,33.81,658.0
2002,辽宁,1635.0,1471.0,149.0,44.0,94.0,70.0,,808.62,388.31,,,,4754.1,1984.3,41.7,206.12,1039.0
2002,重庆,1559.0,1411.0,104.0,50.0,112.0,36.0,,551.94,245.91,,,,4415.0,1390.7,31.5,126.83,912.0
2002,陕西,509.0,479.0,115.0,40.0,20.0,10.0,,267.97,123.57,,,,1868.6,642.1,34.4,62.36,971.0
2002,青海,274.0,263.0,22.0,6.0,5.0,6.0,,34.56,16.92,,,,342.4,133.6,39.0,13.33,998.0
