province,year,sales
上海,2009,1317
云南,2009,4038
内蒙,2009,3600
北京,2009,2261
吉林,2009,2179
四川,2009,8731
天津,2009,582
宁夏,2009,1397
安徽,2009,6398
山东,2009,5987
山西,2009,2539
广东,2009,1089
广西,2009,3094
新疆,2009,2302
江苏,2009,7851
江西,2009,2931
河北,2009,2495
河南,2009,3979
浙江,2009,2871
海南,2009,585
湖北,2009,4758
湖南,2009,4036
甘肃,2009,1582
福建,2009,1770
西藏,2009,130
贵州,2009,2464
辽宁,2009,2966
重庆,2009,2593
陕西,2009,3449
青海,2009,664
黑龙江,2009,2635
上海,2010,1786
云南,2010,6818
内蒙,2010,5482
北京,2010,3813
吉林,2010,4009
四川,2010,12340
天津,2010,1148
宁夏,2010,1879
安徽,2010,11801
山东,2010,10452
山西,2010,4551
广东,2010,2274
广西,2010,5873
新疆,2010,3529
江苏,2010,13162
江西,2010,5755
河北,2010,5741
河南,2010,7793
浙江,2010,6108
海南,2010,1229
湖北,2010,7606
湖南,2010,6969
甘肃,2010,2515
福建,2010,4518
西藏,2010,171
贵州,2010,4511
辽宁,2010,6468
重庆,2010,4864
陕西,2010,5311
青海,2010,812
黑龙江,2010,4553
上海,2011,1871
云南,2011,6511
内蒙,2011,6886
北京,2011,4055
吉林,2011,4490
四川,2011,11425
天津,2011,1217
宁夏,2011,2463
安徽,2011,10374
山东,2011,10761
山西,2011,5833
广东,2011,2944
广西,2011,6767
新疆,2011,5630
江苏,2011,10969
江西,2011,5548
河北,2011,5966
河南,2011,9047
浙江,2011,6025
海南,2011,1772
湖北,2011,8550
湖南,2011,6590
甘肃,2011,3350
福建,2011,4082
西藏,2011,448
贵州,2011,6407
辽宁,2011,7465
重庆,2011,5173
陕西,2011,5131
青海,2011,1195
黑龙江,2011,4810
上海,2012,989
云南,2012,4728
内蒙,2012,4540
北京,2012,2658
吉林,2012,1680
四川,2012,5422
天津,2012,569
宁夏,2012,1227
安徽,2012,6134
山东,2012,7016
山西,2012,5152
广东,2012,2153
广西,2012,4904
新疆,2012,4214
江苏,2012,5687
江西,2012,2862
河北,2012,3127
河南,2012,6239
浙江,2012,3506
海南,2012,808
湖北,2012,5702
湖南,2012,4663
甘肃,2012,2653
福建,2012,2255
西藏,2012,403
贵州,2012,4513
辽宁,2012,3438
重庆,2012,2820
陕西,2012,3697
青海,2012,847
黑龙江,2012,1967
上海,2013,1265
云南,2013,4432
内蒙,2013,2002
北京,2013,2455
吉林,2013,1540
四川,2013,7826
天津,2013,611
宁夏,2013,1177
安徽,2013,6045
山东,2013,7427
山西,2013,3777
广东,2013,2603
广西,2013,4065
新疆,2013,3657
江苏,2013,6965
江西,2013,2750
河北,2013,3366
河南,2013,5260
浙江,2013,3826
海南,2013,850
湖北,2013,5610
湖南,2013,4892
甘肃,2013,2941
福建,2013,2241
西藏,2013,577
贵州,2013,5550
辽宁,2013,2205
重庆,2013,3583
陕西,2013,2967
青海,2013,987
黑龙江,2013,1415
上海,2014,1049
云南,2014,4168
内蒙,2014,1283
北京,2014,1811
吉林,2014,1426
四川,2014,6773
天津,2014,483
宁夏,2014,820
安徽,2014,4489
山东,2014,6195
山西,2014,2125
广东,2014,2229
广西,2014,3019
新疆,2014,2802
江苏,2014,5882
江西,2014,2082
河北,2014,2780
河南,2014,4518
浙江,2014,3349
海南,2014,697
湖北,2014,4209
湖南,2014,3670
甘肃,2014,2209
福建,2014,1853
西藏,2014,661
贵州,2014,4227
辽宁,2014,1539
重庆,2014,3335
陕西,2014,2674
青海,2014,816
黑龙江,2014,1252
上海,2015,615
云南,2015,3413
内蒙,2015,706
北京,2015,929
吉林,2015,640
四川,2015,3552
天津,2015,278
宁夏,2015,445
安徽,2015,3598
山东,2015,3625
山西,2015,818
广东,2015,1598
广西,2015,2494
新疆,2015,1437
江苏,2015,3404
江西,2015,1336
河北,2015,1113
河南,2015,3753
浙江,2015,1914
海南,2015,447
湖北,2015,2852
湖南,2015,2799
甘肃,2015,1640
福建,2015,1089
西藏,2015,685
贵州,2015,2121
辽宁,2015,646
重庆,2015,1697
陕西,2015,1703
青海,2015,559
黑龙江,2015,573
上海,2016,907
云南,2016,4710
内蒙,2016,1007
北京,2016,1057
吉林,2016,527
四川,2016,4140
天津,2016,196
宁夏,2016,475
安徽,2016,3657
山东,2016,4522
山西,2016,931
广东,2016,1865
广西,2016,3174
新疆,2016,1552
江苏,2016,4664
江西,2016,2000
河北,2016,1523
河南,2016,3244
浙江,2016,2298
海南,2016,588
湖北,2016,3825
湖南,2016,3469
甘肃,2016,1532
福建,2016,1236
西藏,2016,847
贵州,2016,2880
辽宁,2016,550
重庆,2016,1955
陕西,2016,2378
青海,2016,650
黑龙江,2016,554
上海,2017,1709
云南,2017,7104
内蒙,2017,3027
北京,2017,1408
吉林,2017,1473
四川,2017,9318
天津,2017,489
宁夏,2017,1034
安徽,2017,8999
山东,2017,8881
山西,2017,3094
广东,2017,3902
广西,2017,5706
新疆,2017,3163
江苏,2017,9949
江西,2017,4719
河北,2017,4404
河南,2017,7821
浙江,2017,4542
海南,2017,958
湖北,2017,7169
湖南,2017,6307
甘肃,2017,2564
福建,2017,1987
西藏,2017,2080
贵州,2017,6863
辽宁,2017,1491
重庆,2017,4173
陕西,2017,4571
青海,2017,1416
黑龙江,2017,1237
上海,2018,2053
云南,2018,7905
内蒙,2018,3810
北京,2018,1107
吉林,2018,1588
四川,2018,12592
天津,2018,1524
宁夏,2018,1417
安徽,2018,11251
山东,2018,15198
山西,2018,5280
广东,2018,6673
广西,2018,8117
新疆,2018,3690
江苏,2018,14198
江西,2018,7086
河北,2018,7221
河南,2018,12869
浙江,2018,6830
海南,2018,1288
湖北,2018,9968
湖南,2018,8773
甘肃,2018,4643
福建,2018,2901
西藏,2018,3181
贵州,2018,7020
辽宁,2018,2000
重庆,2018,4757
陕西,2018,6469
青海,2018,1576
黑龙江,2018,1205
