year,month,type,sales
2009,1,中,1100
2009,1,大,162
2009,1,小,1025
2009,2,中,4174
2009,2,大,747
2009,2,小,3505
2009,3,中,6684
2009,3,大,1238
2009,3,小,5392
2009,4,中,5555
2009,4,大,1060
2009,4,小,4127
2009,5,中,4084
2009,5,大,863
2009,5,小,2392
2009,6,中,3697
2009,6,大,1027
2009,6,小,1947
2009,7,中,3238
2009,7,大,906
2009,7,小,1675
2009,8,中,3449
2009,8,大,907
2009,8,小,1907
2009,9,中,4008
2009,9,大,962
2009,9,小,2950
2009,10,中,4472
2009,10,大,1119
2009,10,小,3166
2009,11,中,4731
2009,11,大,959
2009,11,小,3051
2009,12,中,4903
2009,12,大,927
2009,12,小,2910
2010,1,中,4604
2010,1,大,1026
2010,1,小,2399
2010,2,中,4620
2010,2,大,1200
2010,2,小,2811
2010,3,中,15965
2010,3,大,2852
2010,3,小,11315
2010,4,中,11726
2010,4,大,2150
2010,4,小,4546
2010,5,中,9615
2010,5,大,1871
2010,5,小,4546
2010,6,中,6935
2010,6,大,1454
2010,6,小,3083
2010,7,中,5087
2010,7,大,1401
2010,7,小,2476
2010,8,中,4962
2010,8,大,1230
2010,8,小,2654
2010,9,中,6385
2010,9,大,1432
2010,9,小,3830
2010,10,中,6279
2010,10,大,1486
2010,10,小,4584
2010,11,中,7323
2010,11,大,1697
2010,11,小,5324
2010,12,中,7334
2010,12,大,1496
2010,12,小,5047
2011,1,中,5825
2011,1,大,1303
2011,1,小,3744
2011,2,中,9936
2011,2,大,2698
2011,2,小,7645
2011,3,中,21254
2011,3,大,5219
2011,3,小,16590
2011,4,中,12989
2011,4,大,3666
2011,4,小,9790
2011,5,中,7277
2011,5,大,2378
2011,5,小,4633
2011,6,中,5422
2011,6,大,1718
2011,6,小,3303
2011,7,中,3863
2011,7,大,1345
2011,7,小,2457
2011,8,中,3881
2011,8,大,1428
2011,8,小,2555
2011,9,中,4328
2011,9,大,1401
2011,9,小,3139
2011,10,中,4064
2011,10,大,1325
2011,10,小,3533
2011,11,中,4056
2011,11,大,1201
2011,11,小,3651
2011,12,中,3848
2011,12,大,876
2011,12,小,3771
2012,1,中,2350
2012,1,大,709
2012,1,小,2162
2012,2,中,6518
2012,2,大,2509
2012,2,小,6591
2012,3,中,9782
2012,3,大,3742
2012,3,小,9724
2012,4,中,6608
2012,4,大,2354
2012,4,小,6408
2012,5,中,4871
2012,5,大,1770
2012,5,小,4229
2012,6,中,3690
2012,6,大,1365
2012,6,小,3232
2012,7,中,2940
2012,7,大,735
2012,7,小,2211
2012,8,中,2740
2012,8,大,625
2012,8,小,2130
2012,9,中,2997
2012,9,大,622
2012,9,小,2286
2012,10,中,2828
2012,10,大,560
2012,10,小,2533
2012,11,中,3028
2012,11,大,576
2012,11,小,3053
2012,12,中,3421
2012,12,大,577
